País,Provincia,Región/Zona,Localidad/Barrio,Nombre del Emprendimiento,Instagram,Sitio Web / Contacto,Linktr,Google Maps,Telefono,Notas extra,Tipo Principal,Tipos Secundarios,Modalidad,Calidad / Producción,Productos,⚠️ Revisar,Certificaciones / Asociaciones
Argentina,Río Negro,,Trevelin,Tierra Caracol,https://www.instagram.com/caracoltierra/?hl=es-la,,,,,,Productor,,Retiro y Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas",,
Argentina,Río Negro,,Trevelin,Vive la Huerta Trevelin,https://www.instagram.com/vive_la_huerta__trevelin/?hl=es-la,,,,,,Productor,,Retiro y Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas",,
Argentina,Río Negro,,"Viedma, Carmen de Patagones",Colectivo Agroecologico,https://www.instagram.com/colectivoagroecologico/?hl=es-la,,,,,,Abastecedor,Productor,Retiro y Entrega,"Sin agroquímicos, Agroecológico, Sustentable","Verduras, Frutas",,
Argentina,San Juan,,Albardón,Granja Tía Nora,https://www.instagram.com/granjatianora/?hl=es-la,,,,2644365391,,Productor,,Retiro y Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas, Huevos",,
Argentina,San Luis,,San Luis Capital,La Huertita SL,https://www.instagram.com/lahuertitasl/?hl=es-la,,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,San Luis,,,Red Viva San Luis,,,,,266 457 4533,Contacto: Cecilia,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Sustentable","Verduras, Frutas, Elaborados",,
Argentina,Santa Fé,,Arroyo Seco y zona,El Campito Huerta,https://www.instagram.com/el.campito.huerta/,,,,3402 552-723,,Productor,Abastecedor,Retiro y Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas",,
Argentina,Santa Fé,,Esperanza,Broagroecológico,https://www.instagram.com/broagroecologico/,,,,3496400062,,Abastecedor,Productor,Retiro y Entrega,"Sin agroquímicos, Agroecológico, Sustentable","Verduras, Frutas, Elaborados",,
Argentina,Santa Fé,,Hughes,Benjamín Santiago,https://www.instagram.com/samtiago.moru/,,,,542473-46-9103,,Productor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas",,
Argentina,Santa Fé,,"Rosario, Funes, Roldán",Dulces del Jardín,https://www.instagram.com/dulcesdeljardinenfunes/,https://dulcesdeljardin.mitiendanube.com/,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Elaborados, Verduras, Frutas",,
Argentina,Santa Fé,,Rosario,Suelo Común,https://www.instagram.com/latiendadesuelocomun/?hl=es,,,,,,Abastecedor,,Solo Retiro,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Santa Fé,,"Rosario, Granadero Baigorria",Trabajo en Tierra Viva,https://www.instagram.com/trabajotierraviva/?hl=es,https://trabajoentierraviva.mitiendanube.com/,,,,,Productor,Abastecedor,Retiro y Entrega,"Sin agroquímicos, Agroecológico, Sustentable","Verduras, Frutas",,
Argentina,Santa Fé,,Rosario,Biodemarg,https://www.instagram.com/biodemarg/?hl=es-la,,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Santa Fé,,"Rosario y Gran Rosario, Villa Gobernador Galvez, El Trebol, San Lorenzo, Casilla I, Firmat, Alvear, Entre Rios, etc.",Vitalia Almacen Natural,https://www.instagram.com/vitalia_almacennatural/?hl=es,https://vitalia.com.ar/,,,341 509-0914,,Abastecedor,,Solo Entrega,"Sin agroquímicos, Sustentable","Verduras, Frutas, Elaborados",,
Argentina,Santa Fé,,Santa Fé Capital,Feria Agroecológica Santa Fé,https://www.instagram.com/feriaagroecologicasf/,,,,,,Abastecedor,,Solo Retiro,"Sin agroquímicos, Agroecológico, Sustentable","Verduras, Frutas, Elaborados",,
Argentina,Santa Fé,,Santa Fé Capital,Verdecita 2020,https://www.instagram.com/verdecita2020/,,,,,,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Sustentable","Verduras, Frutas, Elaborados",,
Argentina,Santa Fé,,Santa Fé Capital,La Huerta Delivery,https://www.instagram.com/la_huerta_delivery/,,,,342 549-9608,,Abastecedor,,Solo Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas",,
Argentina,Santa Fé,,Santa Fé Capital,Establecimiento la Quinta,https://www.instagram.com/establecimientolaquinta/,,,,,,Productor,Abastecedor,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas",,
Argentina,Santa Fé,,Santa Fé Capital,Tierra Noble,https://www.instagram.com/tierranoble.ok/,,https://linktr.ee/Tierranoble.sf,,,,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas, Elaborados",,
Argentina,Santa Fé,,Santa Fé Capital,Cosecha Agroecológica,https://www.instagram.com/cosecha_agroecologica/,,,,,Puesto N°22 en la plaza Pueyrredón. Sábados 8 a 13hs,Abastecedor,,Solo Retiro,"Sin agroquímicos, Agroecológico, Sustentable","Verduras, Frutas, Elaborados",,
Argentina,Santa Fé,,Santa fé Capital y la costa,Amma 100 Agroecología,https://www.instagram.com/amma100agroecologica/?hl=es-la,,,,3425008482/3498400808,,Abastecedor,Productor,Retiro y Entrega,"Sin agroquímicos, Agroecológico, Sustentable","Verduras, Frutas, Elaborados",,
Argentina,Tucumán,,Yerba Buena,Mercadito Agroecológico Tucuman,https://www.instagram.com/mercaditoagroecologicotuc/,,,,,,Abastecedor,,Solo Retiro,"Sin agroquímicos, Agroecológico, Sustentable","Verduras, Frutas, Elaborados",,
